UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
SC;MASSARANDUBA;14761;6897;0;682;164;1573;451;0;3;39;3208;808;39;1;439;193;1;30;0;11;4;218
SC;MATOS COSTA;2055;1183;0;79;11;283;73;0;1;9;283;21;22;0;53;21;0;0;0;1;0;15
SC;MELEIRO;6965;3259;0;296;115;841;164;0;1;17;1420;269;21;0;248;143;2;1;0;5;2;161
SC;MIRIM DOCE;2227;1158;0;93;11;214;73;0;2;8;448;120;16;0;42;18;1;0;0;1;0;22
SC;MODELO;3474;1920;0;151;32;365;139;0;1;13;531;147;19;0;58;47;0;2;0;0;0;49
SC;MONDAI;9432;4162;0;226;151;667;365;0;1;18;2479;627;66;0;298;240;1;11;0;3;2;115
SC;MONTE CARLO;6206;4008;0;205;86;618;209;0;0;28;557;101;132;0;134;92;0;11;0;2;0;23
SC;MONTE CASTELO;5457;3108;0;225;65;628;133;0;2;25;860;126;33;0;131;81;2;2;0;0;1;35
SC;MORRO DA FUMACA;20565;9323;0;898;355;1332;583;0;23;34;4789;1835;37;0;593;387;2;20;0;20;3;331
SC;MORRO GRANDE;2713;1211;0;206;32;257;46;0;3;4;614;164;12;0;71;52;0;3;0;1;1;36
SC;NAVEGANTES;64018;29090;0;1143;755;3462;2351;0;55;148;14863;8712;103;0;1382;927;9;59;0;28;15;916
SC;NOVA ERECHIM;3960;2139;0;179;44;523;142;0;1;8;555;161;17;0;86;44;1;0;0;2;0;58
SC;NOVA ITABERABA;3971;1831;0;155;42;522;67;0;1;12;1041;134;14;0;56;51;0;2;0;0;0;43
SC;NOVA TRENTO;12407;6190;0;344;75;1236;569;0;41;75;2227;1049;51;0;256;85;0;6;0;6;1;196
SC;NOVA VENEZA;12615;6133;0;494;259;1383;428;0;10;33;2486;420;47;0;388;307;0;9;0;10;1;207
SC;NOVO HORIZONTE;1907;1002;0;83;15;281;32;0;0;14;339;49;15;0;35;24;0;0;0;1;0;17
SC;ORLEANS;23854;10840;0;993;748;2084;812;0;9;45;3877;1291;62;0;838;1701;1;23;0;1;2;527
SC;OTACILIO COSTA;15173;8757;0;585;509;1586;384;0;7;54;1384;341;73;0;596;750;4;13;0;3;5;122
SC;OURO;6395;3248;0;285;111;810;155;0;0;32;961;396;25;0;160;132;1;6;0;1;1;71
SC;OURO VERDE;1836;827;0;121;21;276;50;0;1;6;387;44;5;0;35;36;0;3;0;1;0;23
SC;PAIAL;1195;583;0;30;19;157;35;0;0;3;263;37;13;0;19;27;0;0;0;0;0;9
SC;PAINEL;1358;795;0;49;3;248;30;0;0;10;160;9;12;0;32;4;0;0;0;1;0;5
SC;PALHOCA;156072;85514;0;3343;657;10180;7113;2;68;264;30805;9095;482;0;4660;814;3;217;0;125;19;2711
SC;PALMA SOLA;6216;3368;0;245;88;748;240;0;3;14;1021;163;47;0;71;117;0;2;0;1;0;88
SC;PALMEIRA;2261;1082;0;157;126;294;52;0;0;7;275;32;6;0;56;153;0;2;0;1;0;18
SC;PALMITOS;16053;7251;0;489;980;1557;426;0;0;59;2709;796;67;0;410;1110;6;12;0;1;0;180
SC;PAPANDUVA;14832;7719;0;661;125;1806;398;0;1;22;2881;493;122;0;289;170;2;9;0;0;2;132
SC;PARAISO;3199;1708;0;113;14;371;85;0;0;8;736;77;15;0;26;20;0;1;0;0;0;25
